id;date;details;status;payment_method;payment_date;payment_amount
1;2019-10-09T09:58:56;Directives application Home Loan Account;CANCELLED;CREDIT_CARD;2019-10-09T04:32:40;14286
2;2019-10-09T01:58:39;Movies Producer;PAID;PAYPAL;2019-10-09T08:36:16;2306
3;2019-10-09T11:58:54;Investment Account Steel;ISSUED;CASH_ON_DELIVERY;2019-10-09T00:07:37;61838
4;2019-10-09T14:10:44;Cambridgeshire Mississippi;CANCELLED;CASH_ON_DELIVERY;2019-10-08T23:34:11;38541
5;2019-10-09T11:39:37;Intelligent;CANCELLED;CREDIT_CARD;2019-10-09T03:04:14;75536
6;2019-10-09T11:29:24;Costa Rica Mayotte;CANCELLED;PAYPAL;2019-10-09T04:37:18;72727
7;2019-10-08T20:50:47;Awesome;PAID;PAYPAL;2019-10-08T23:04:53;58675
8;2019-10-09T10:24:32;mission-critical Faroe Islands Plastic;ISSUED;CREDIT_CARD;2019-10-08T23:24:01;19884
9;2019-10-09T02:00:24;application quantify Unbranded Plastic Tuna;ISSUED;CASH_ON_DELIVERY;2019-10-09T11:10:00;66592
10;2019-10-09T01:27:38;withdrawal COM;PAID;PAYPAL;2019-10-09T07:07:12;4043
